genus,species,common_nam,street_num,street_nam,site,date_deliv,time_deliv,date_compl,time_compl,estimated_,source,program_ye,OBJECTID,STATEFP20,COUNTYFP20,TRACTCE20,GEOID20,NAME20,NAMELSAD20,MTFCC20,FUNCSTAT20,ALAND20,AWATER20,INTPTLAT20,INTPTLON20,TRACT_DESCRIPTION,Shape_Length,Shape_Area
Taxodium,distichum,Bald cypress,1057,W. Ocean View Ave,13M,1/2/2019,00:00.0,2/13/2019,00:00.0,490.873852,City Nursery,2019,5,51,710,400,51710000400,4,Census Tract,G5020,S,1157416,6429767,36.9650231,-76.2907359,WILLOUGBY,0.178535082,0.000767662
Quercus,virginiana,Live oak,543,W. Ocean View Ave,7M,2/7/2019,00:00.0,2/13/2019,00:00.0,6361.72512,City Nursery,2019,5,51,710,400,51710000400,4,Census Tract,G5020,S,1157416,6429767,36.9650231,-76.2907359,WILLOUGBY,0.178535082,0.000767662
Taxodium,distichum,Bald cypress,1349,W. Ocean View Ave,6M,1/2/2019,00:00.0,2/13/2019,00:00.0,490.873852,City Nursery,2019,5,51,710,400,51710000400,4,Census Tract,G5020,S,1157416,6429767,36.9650231,-76.2907359,WILLOUGBY,0.178535082,0.000767662
Ulmus,americana 'Princeton',Princeton American elm,615,Dune St,2F,2/12/2019,00:00.0,3/4/2019,00:00.0,1256.63706,City Nursery,2019,7,51,710,600,51710000600,6,Census Tract,G5020,S,1248687,0,36.940424,-76.2535165,"OCEANAIR, BAYVIEW",0.050622677,0.000126309
Ulmus,americana 'Princeton',Princeton American elm,615,Dune St,1F,2/12/2019,00:00.0,3/4/2019,00:00.0,1256.63706,City Nursery,2019,7,51,710,600,51710000600,6,Census Tract,G5020,S,1248687,0,36.940424,-76.2535165,"OCEANAIR, BAYVIEW",0.050622677,0.000126309
Ulmus,americana 'Princeton',Princeton American elm,738,E. Bayview Blvd,1F,2/12/2019,00:00.0,2/26/2019,00:00.0,1256.63706,City Nursery,2019,8,51,710,700,51710000700,7,Census Tract,G5020,S,1312199,33089,36.9332787,-76.2537728,"OCEANAIR, BAYVIEW",0.055746822,0.000136069
Ulmus,americana 'Princeton',Princeton American elm,724,E. Bayview Blvd,1F,2/12/2019,00:00.0,2/26/2019,00:00.0,1256.63706,City Nursery,2019,8,51,710,700,51710000700,7,Census Tract,G5020,S,1312199,33089,36.9332787,-76.2537728,"OCEANAIR, BAYVIEW",0.055746822,0.000136069
Quercus,prinoides,Dwarf chinquapin oak,8727,Old Ocean View Rd,2F,2/20/2018,00:00.0,2/22/2018,00:00.0,153.93804,City Nursery,2018,8,51,710,700,51710000700,7,Census Tract,G5020,S,1312199,33089,36.9332787,-76.2537728,"OCEANAIR, BAYVIEW",0.055746822,0.000136069
Quercus,prinoides,Dwarf chinquapin oak,8727,Old Ocean View Rd,1F,2/20/2018,00:00.0,2/22/2018,00:00.0,153.93804,City Nursery,2018,8,51,710,700,51710000700,7,Census Tract,G5020,S,1312199,33089,36.9332787,-76.2537728,"OCEANAIR, BAYVIEW",0.055746822,0.000136069
Ulmus,americana 'Princeton',Princeton American elm,738,E. Bayview Blvd,2F,2/12/2019,00:00.0,2/26/2019,00:00.0,1256.63706,City Nursery,2019,8,51,710,700,51710000700,7,Census Tract,G5020,S,1312199,33089,36.9332787,-76.2537728,"OCEANAIR, BAYVIEW",0.055746822,0.000136069
Ulmus,alata,Winged elm,406,E. Bayview Blvd,1F,1/15/2019,00:00.0,2/26/2019,00:00.0,1256,City Nursery,2019,8,51,710,700,51710000700,7,Census Tract,G5020,S,1312199,33089,36.9332787,-76.2537728,"OCEANAIR, BAYVIEW",0.055746822,0.000136069
Ulmus,americana 'Princeton',Princeton American elm,702,E. Bayview Blvd,1F,1/2/2019,00:00.0,2/26/2019,00:00.0,1256.63706,City Nursery,2019,8,51,710,700,51710000700,7,Census Tract,G5020,S,1312199,33089,36.9332787,-76.2537728,"OCEANAIR, BAYVIEW",0.055746822,0.000136069
Ulmus,alata,Winged elm,406,E. Bayview Blvd,2F,1/15/2019,00:00.0,2/26/2019,00:00.0,1256,City Nursery,2019,8,51,710,700,51710000700,7,Census Tract,G5020,S,1312199,33089,36.9332787,-76.2537728,"OCEANAIR, BAYVIEW",0.055746822,0.000136069
Ulmus,americana 'Princeton',Princeton American elm,738,E. Bayview Blvd,3F,2/12/2019,00:00.0,2/26/2019,00:00.0,1256.63706,City Nursery,2019,8,51,710,700,51710000700,7,Census Tract,G5020,S,1312199,33089,36.9332787,-76.2537728,"OCEANAIR, BAYVIEW",0.055746822,0.000136069
Ulmus,americana 'Princeton',Princeton American elm,724,E. Bayview Blvd,2F,2/12/2019,00:00.0,2/26/2019,00:00.0,1256.63706,City Nursery,2019,8,51,710,700,51710000700,7,Census Tract,G5020,S,1312199,33089,36.9332787,-76.2537728,"OCEANAIR, BAYVIEW",0.055746822,0.000136069
Ulmus,alata,Winged elm,8816,Gramel St,1F,1/31/2019,00:00.0,2/26/2019,00:00.0,1256,City Nursery,2019,9,51,710,800,51710000800,8,Census Tract,G5020,S,941358,204737,36.9378793,-76.2687837,"MERRIMAC PARK, COMMODORE PARK",0.048745591,0.00011593
Halesia,diptera,Two-winged silverbell,8709,Executive Dr,4FL,1/11/2019,00:00.0,2/6/2019,00:00.0,706.5,City Nursery,2019,9,51,710,800,51710000800,8,Census Tract,G5020,S,941358,204737,36.9378793,-76.2687837,"MERRIMAC PARK, COMMODORE PARK",0.048745591,0.00011593
Ulmus,alata,Winged elm,8817,Gramel St,2F,1/31/2019,00:00.0,2/26/2019,00:00.0,1256,City Nursery,2019,9,51,710,800,51710000800,8,Census Tract,G5020,S,941358,204737,36.9378793,-76.2687837,"MERRIMAC PARK, COMMODORE PARK",0.048745591,0.00011593
Halesia,diptera,Two-winged silverbell,8709,Executive Dr,3FL,1/11/2019,00:00.0,2/6/2019,00:00.0,706.5,City Nursery,2019,9,51,710,800,51710000800,8,Census Tract,G5020,S,941358,204737,36.9378793,-76.2687837,"MERRIMAC PARK, COMMODORE PARK",0.048745591,0.00011593
